ID;Year_of_Birth;Education_Level;Marital_Status;Annual_Salary;Children_at_Home;Teens_at_Home;Registration_Date;Days_Since_Last_Purchase;Electronics_Spending;Toy_Spending;Furniture_Spending;Utilities_Spending;Food_Spending;Clothing_Spending;Number_of_Discount_Purchases;Number_of_Web_Purchases;Number_of_Catalog_Purchases;Number_of_Store_Purchases;Number_of_Website_Visits_per_Month;Campaign_1_Purchase;Campaign_2_Purchase;Campaign_3_Purchase;Campaign_4_Purchase;Campaign_5_Purchase;Purchased;Country
2795;1958;Master's Degree;Single;30523;2;1;7/1/20;0;5;0;3;0;0;5;1;1;0;2;7;0;0;0;0;0;0;Chile
2285;1954;Master's Degree;Married;36634;0;1;5/12/23;0;213;9;76;4;3;30;3;5;2;5;7;0;0;0;0;0;0;Spain
115;1966;Master's Degree;Single;43456;0;1;3/2/23;0;275;11;68;25;7;7;3;5;1;8;5;0;0;0;0;0;0;Argentina
10470;1979;Master's Degree;Single;40662;1;0;3/5/23;0;40;2;23;0;4;23;2;2;1;3;4;0;0;0;0;0;0;Germany
4065;1976;Doctorate;Single;49544;1;0;2/11/20;0;308;0;73;0;0;23;2;5;1;8;7;0;0;0;0;0;0;United States
10968;1969;College Degree;Single;57731;0;1;11/4/22;0;266;21;300;65;8;44;4;8;8;6;6;0;0;0;0;0;0;Argentina
5985;1965;Master's Degree;Single;33168;0;1;10/12/22;0;80;1;37;0;1;3;3;2;1;4;7;0;0;0;0;0;0;United States
5430;1956;College Degree;Married;54450;1;1;9/4/22;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;0;United States
8432;1956;College Degree;Married;54450;1;1;9/4/22;0;454;0;171;8;19;32;12;9;2;8;8;0;0;0;0;0;0;United States
453;1956;Doctorate;Divorced;35340;1;1;6/7/21;1;27;0;12;0;1;5;2;2;0;3;5;0;0;0;0;0;0;United States
1826;1970;College Degree;Divorced;84835;0;0;6/3/21;0;189;104;379;111;189;218;1;4;4;6;1;0;0;0;0;0;1;United States
1;1961;College Degree;Single;57091;0;0;6/3/21;0;464;5;64;7;0;37;1;7;3;7;5;0;0;0;0;1;1;Chile
10476;1958;College Degree;Single;67267;0;1;5/7/21;0;134;11;59;15;2;30;1;3;2;5;2;0;0;0;0;0;0;Portugal
1386;1967;College Degree;Married;32474;1;1;5/11/18;0;10;0;1;0;0;0;1;1;0;2;7;0;0;0;0;0;0;Brazil
5371;1989;College Degree;Single;21474;1;0;4/8/18;0;6;16;24;11;0;34;2;3;1;2;7;1;0;0;0;0;1;United States
7348;1958;Doctorate;Single;71691;0;0;3/2/21;0;336;130;411;240;32;43;1;4;7;5;2;0;0;0;0;0;1;United States
4073;1954;High School;Single;63564;0;0;1/7/21;0;769;80;252;15;34;65;1;10;10;7;6;1;0;0;0;0;1;Germany
1991;1967;College Degree;Married;44931;0;1;1/4/21;0;78;0;11;0;0;7;1;2;1;3;5;0;0;0;0;0;0;United States
4047;1954;Doctorate;Single;65324;0;1;1/11/18;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;Portugal
9477;1954;Doctorate;Single;65324;0;1;1/11/18;0;384;0;102;21;32;5;3;6;2;9;4;0;0;0;0;0;0;Argentina
2079;1947;High School;Single;81044;0;0;12/3/23;0;450;26;535;73;98;26;1;5;6;10;1;0;0;0;0;0;0;Portugal
5642;1979;Master's Degree;Married;62499;1;0;12/9/20;0;140;4;61;0;13;4;2;3;1;6;4;0;0;0;0;0;0;United States
10530;1959;Doctorate;Divorced;67786;0;0;12/7/20;0;431;82;441;80;20;102;1;3;6;6;1;0;0;0;0;0;1;Argentina
2964;1981;College Degree;Single;26872;0;0;10/1/23;0;3;10;8;3;16;32;1;1;1;2;6;0;0;0;0;0;0;Chile
10311;1969;College Degree;Single;4428;0;1;10/5/20;0;16;4;12;2;4;321;0;25;0;0;1;0;0;0;0;0;0;United States
837;1977;College Degree;Single;54809;1;1;9/11/20;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;0;United States
10521;1977;College Degree;Single;54809;1;1;9/11/20;0;63;6;57;13;13;22;4;2;1;5;4;0;0;0;0;0;1;United States
10175;1958;Doctorate;Divorced;32173;0;1;8/1/20;0;18;0;2;0;0;2;1;1;0;3;4;0;0;0;0;0;0;United States
1473;1960;High School;Single;47823;0;1;7/4/23;0;53;1;5;2;1;10;2;2;0;3;8;0;0;0;0;0;0;Chile
9687;1975;College Degree;Single;73170;0;0;5/8/21;1;184;174;256;50;30;32;1;5;4;6;2;0;0;0;0;0;0;Chile
8890;1971;Doctorate;Divorced;65808;1;1;5/2/21;1;155;7;80;13;7;10;3;5;1;5;6;0;0;0;0;0;0;United States
9264;1986;College Degree;Single;79529;0;0;4/3/21;1;423;42;706;73;197;197;1;4;8;9;2;0;0;0;0;0;0;Chile
5824;1972;Doctorate;Married;34578;2;1;4/11/18;1;7;0;1;0;0;0;1;1;0;2;6;0;0;0;0;0;0;Brazil
5794;1974;Doctorate;Single;46374;0;1;3/2/21;1;408;0;21;0;0;17;3;7;1;7;8;0;1;0;1;0;1;Argentina
3068;1990;College Degree;Single;18351;0;0;10/7/23;1;1;12;9;0;14;7;1;2;0;3;7;0;0;0;0;0;0;United States
